Model,URL,Year Manufacture,Mileage,Price
,https://auto.bazos.cz/inzerat/196980229/dodge-grand-caravan-gt-vybava.php,2019,,379000
,https://auto.bazos.cz/inzerat/197570171/chevrolet-olando-18i.php,2011,233000,85000
,https://auto.bazos.cz/inzerat/197568631/trailblazer.php,2002,,115000
,https://auto.bazos.cz/inzerat/197553873/chevrolet-kalos-12i-po-servisusuper-stav.php,2009,173119,44900
,https://auto.bazos.cz/inzerat/197537109/ch.php,2008,160000,65000
,https://auto.bazos.cz/inzerat/197529847/chevrolet-epica-20-ilpg-lpg-benzin-manual-105-kw.php,2008,170300,65000
,https://auto.bazos.cz/inzerat/197522677/prodam-vymenim.php,,,55000
,https://auto.bazos.cz/inzerat/197513300/chevy-van-explorer.php,1500,,650000
,https://auto.bazos.cz/inzerat/197477602/prodam.php,2025,,70000
,https://auto.bazos.cz/inzerat/197471923/prodam-chevrolet-kalos.php,1000,161000,38000
,https://auto.bazos.cz/inzerat/197471147/chevrolet-c3100-1955.php,1955,94840,1038932
,https://auto.bazos.cz/inzerat/197468250/prodam-vstrikovace.php,,,6000
,https://auto.bazos.cz/inzerat/197427642/chevrolet-kalos-12i-53kw-lpg-rok-2007-klimatizace.php,2007,194000,24990
,https://auto.bazos.cz/inzerat/197421177/chevrolet-lacetti-20-nafta.php,2007,221000,25000
,https://auto.bazos.cz/inzerat/197415911/chevrolet-trailblazer-ltz-42-201kw-r2001-4x4.php,2001,220000,59900
,https://auto.bazos.cz/inzerat/197374454/prodej-vozidla-chevrolet-kalos-2005-bez-stk.php,2025,146000,12000
,https://auto.bazos.cz/inzerat/197366875/chevrolet-ck-1500-50-v8-4x4.php,1993,,220000
,https://auto.bazos.cz/inzerat/197350207/chevrolet-kalos-12i-rv-2008-klima.php,2008,,12999
,https://auto.bazos.cz/inzerat/197311250/prodam-auto.php,2011,,60000
,https://auto.bazos.cz/inzerat/197311013/chevy-gmc-2500-diesel.php,1995,180000,325000
,https://auto.bazos.cz/inzerat/197307140/chevrolet-nubira-sx-kombi-elegance-20-tcdi89kwrv122008.php,2008,122008,50000
,https://auto.bazos.cz/inzerat/197269803/28-l-benzin.php,1988,,140000
,https://auto.bazos.cz/inzerat/197246183/prodam.php,2005,,13000
,https://auto.bazos.cz/inzerat/197245986/dodge-woody-truck.php,1926,,170000
,https://auto.bazos.cz/inzerat/197183136/chevrolet-transport-rok-2002.php,2002,,15000
,https://auto.bazos.cz/inzerat/197177464/matiz-auto-rok-2001-se-klima.php,5000,,5000
,https://auto.bazos.cz/inzerat/197159005/chevrolet.php,2008,,85000
,https://auto.bazos.cz/inzerat/197151053/prodam.php,2003,,25000
,https://auto.bazos.cz/inzerat/197135147/chevrolet-volt-2017-11-000-km-1-majitel-plug-in-hybrid.php,2017,11000,469000
,https://auto.bazos.cz/inzerat/197121892/chevrolet-matiz-10i-46kw.php,2005,96000,29900
,https://auto.bazos.cz/inzerat/197098611/dodge-grand-caravan-se-33l-v6bae-2007.php,2007,365293,70000
,https://auto.bazos.cz/inzerat/197086487/daewoo-lanos-15-rok-2001-stk-platna.php,2025,,12000
,https://auto.bazos.cz/inzerat/197078461/chevrolet-kalos-14i.php,2005,109000,29999
,https://auto.bazos.cz/inzerat/197017284/matiz-daewoo-se.php,,,5000
,https://auto.bazos.cz/inzerat/197011893/chevrolet-colorado-extended-cab-35-4wd-hydra-matic-223hp.php,2007,,249000
,https://auto.bazos.cz/inzerat/196918814/chevrolet-trailblazer-4wd-42-balpg.php,2002,,109000
,https://auto.bazos.cz/inzerat/196879745/chrysler-voyager-25-crd.php,8934,208934,35000
,https://auto.bazos.cz/inzerat/196853507/chevrolet-silverado-53-v8-lpg-4x4-tazne-3500-kg.php,2009,96500,519000
,https://auto.bazos.cz/inzerat/196853350/chevrolet-traverse-high-country-plna-vybava-7-mist.php,2018,118000,799000
,https://auto.bazos.cz/inzerat/196853093/chevrolet-express-4x4-awd-flexfuel-2010-51-000-km-chevy.php,2010,92000,699000
